Handle,Post URL,Title,Date,Full Text,Post ID
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3mdbmugwjzc2e,Wolfers: This is the most interventionist governme,2026-01-25,"Wolfers: This is the most interventionist government of my lifetime. It’s the least conservative government of my lifetime. When you are the richest country in the world, maybe you are not the ones who should be tearing down your existing institutions. But that’s exactly what this president is doing",3mdbmugwjzc2e
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3mdbhrvmioy2y,Reporter: You received a letter from AG  Pam Bondi,2026-01-25,Reporter: You received a letter from AG  Pam Bondi making several demands….  Walz: I would just give a pro tip to the AG. There's 2 million documents in the Epstein files we're still waiting on. Go ahead and work on those,3mdbhrvmioy2y
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3mdbgp5udwj23,Walz: What side do you want to be on? The side of ,2026-01-25,"Walz: What side do you want to be on? The side of an all powerful federal government that can kill, injure, menace and kidnap its citizens off the streets or on the side of a nurse at the V.A. who died bearing witness to such government ",3mdbgp5udwj23
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3mdb7nfgm3x2d,"Bessent: I'm sorry he is dead, but he did bring a ",2026-01-25,"Bessent: I'm sorry he is dead, but he did bring a semiautomatic weapon to what was supposed to be a peaceful protest.  Karl: There's no evidence that he brandished the gun whatsoever  Bessent: But he brought a gun!   Karl: We do have a second amendment in this country.",3mdb7nfgm3x2d
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3md7iief2sk2l,"DA Bregman: If ICE comes in without a warrant, wit",2026-01-25,"DA Bregman: If ICE comes in without a warrant, without reasonable suspicion, without probable cause, that is false imprisonment in New Mexico. You can’t confine, restrain, or detain someone without proper legal authority to do so. And there’s no exception for law enforcement.",3md7iief2sk2l
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3md7hglwru22l,Minnesota AG Keith Ellison’s interview with Katie ,2026-01-25,Minnesota AG Keith Ellison’s interview with Katie Phang was interrupted and cut short because the shooting in Minneapolis happened during his appearance.,3md7hglwru22l
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3md7ggkdv3m2s,"AOC: If you can keep people divided, then you can ",2026-01-25,"AOC: If you can keep people divided, then you can continue to loot the economy.   They are they are trying to distract from the fact that prices have exploded, that people's health insurance is being stripped, $1 trillion out of health care to fund this violence. ",3md7ggkdv3m2s
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3mdblbmafls2e,"Dandiya: So, my district—where I was born and rais",2026-01-25,"Dandiya: So, my district—where I was born and raised, District 21—has had Brian Mast in the seat since 2016.   For many years now, there’s been a growing disconnect between his leadership and the people who elected him—who he should be working for.",3mdblbmafls2e
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3md6qzadywj2d,insane scenes coming out of Minneapolis ,2026-01-24,insane scenes coming out of Minneapolis ,3md6qzadywj2d
patriottakes.bsky.social,https://bsky.app/profile/patriottakes.bsky.social/post/3md7dxveusc24,Minnesota Gun Owners Caucus on the shooting of Ale,2026-01-24,"Minnesota Gun Owners Caucus on the shooting of Alex Pretti:   “…Despite widespread speculation regarding intent, there has been no evidence produced indicating an intent to harm the officers.  We are calling for a full and transparent investigation by both state and federal authorities.“",3md7dxveusc24
